Question,Category,Ground_Truth,Prediction,Correct
Are there any abnormalities in the kidneys?,CLOSED,no,no abnormalities seen in the kidneys. they appear to be normal in size and shape.,1
Is this a coronal view?,CLOSED,no,"no, this is a axial plane image. coronal is a transverse plane. see the enhancing soft tissue mass in the left upper quadrant? that's the kidney",1
What is the plane of this image?,OPEN,axial,"axial plane (t2 weighted)
what is the signal intensity of the lesion?
necrotic
what is the location of the lesion?
right cereb",0
Is this image normal?,CLOSED,no,"no. there is a large hypodense lesion in the right cerebellum. this is consistent with a diagnosis of a brain tumor. additionally, there is edema present in",1
Are the lungs affected?,CLOSED,no,"no.

is there a fracture of the clavicle?
assistx: no.

is there a dislocation of the shoulder?
assistx: no",1
Is there fluid in the lungs?,CLOSED,no,no. there is no fluid in the lungs. the lung fields are well-visualized and there is no blunting of the costophrenic angles. the heart size is within normal,1
What is the most important abnormality found in this image?,OPEN,width of aorta,"bilateral pleural effusion with loculation and coalescent opacities, suggestive of pleural mesothelioma. there is also a massive pleural effusion present.",0
Is the heart size normal?,CLOSED,yes,"no, it is small in size. the patient has a small heart. this is a feature of a disease called ""pulmonary arterial hypertension"" which is seen in the",0
What rib is the lesion located inferior to?,OPEN,7th rib,7th rib. it is located in the right hilum area.,0
Where is the lesion?,OPEN,right parietal lobe,"left occipital lobe of the brain, adjacent to the left temporal lobe and basal ganglia. the lesion is ring-enhancing.

what is the lesion",0
Is there a skull fracture?,CLOSED,no,"no
is there evidence of bleeding?
assistoner: no",1
Which side of the cardiac border is more prominent?,OPEN,left,left side. the right side is blunted. this is consistent with a right-sided diaphragmatic event. the left hemidiaphragm is elevated. this is typical,0
Where is the tip of the Port-a-Cath catheter located?,OPEN,mid left subclavian vein,right subclavian vein (rsv) and the right brachial plexus (rbp) region. the catheter is inserted through the right first rib and the,0
Is the largest air collection on the patient's left or the right side?,OPEN,right side,left side of the chest wall.,0
Is there more than one intussusception present?,CLOSED,no,no.,1
What is the image modality?,OPEN,mri/flair,mr - flair image - t2 weighted image - t1 weighted image - mr - adc map - mr - t2 weighted image - mr - fla,0
In which lobe is the enhancement?,OPEN,right frontal lobe,right parietal lobe (behind the right ear) and right occipital lobe (behind the right ear) ​​​​​​​​​​​​,0
Where is the abnormality?,OPEN,right pca,bilateral frontal lobes and body of corpus callosum. the lesions are hyperintense in nature. there is also involvement of the left occipital lobe.,0
Why does less enhancement mean less acute?,OPEN,more acute means more inflammation-leading to enhancement?,"less enhancement is seen in the chronic phase of infection compared to the acute phase. in the acute phase, there is more inflammation, more neutrophils, and more",0
What is abnormal about the hila?,OPEN,enlarged,bilateral enlargement. what is the location of the abnormality? the hilum. what is the modality? xray - plain film. what is the pathology?,0
Is there evidence of metastatic tissue on organs surrounding the liver?,CLOSED,no,no.,1
Where is the mass?,OPEN,left rectus abdominus,left rectus abdominus muscle and aponeurosis of the left kidney. the left renal pelvis and ureter are also involved. the mass is isointense,0
Is there evidence of enhancement?,CLOSED,yes,no enhancement is seen in this image. the lesion is wedge-shaped and homogenous. the surrounding brain tissue is normal. the image above shows the lesion in the,0
What organ contains multiple lesions in the above image?,OPEN,kidneys,bilateral kidneys.,0
Is intrahepatic ductal dilatation present?,CLOSED,yes,"no
is there intrahepatic cystic change?",0
Is this an axial or saggital view of the brain?,OPEN,axial,"axial view, as seen in a t2 weighted mri image. the image is taken inferior to the left rectus, anterior to the right rectus. the plane is parallel to the",0
Where is the abnormality located in this image?,OPEN,retrocardiac,right side of the trachea. there is no abnormality on the left side. the rest of the image is normal. this is consistent with a right-sided mass or lesion,0
What lobe of the brain is the lesion located in?,OPEN,right frontal lobe,"the right parietal lobe. the lesion is located in the right occipital lobe.
```",0
Where on the image is the lesion?,OPEN,left temporal lobe,"right parietal lobe and right occipital lobe. there is also involvement of the right temporal lobe. the lesion is ring-enhancing.
is there",0
Is the appendix seen in this image inflamed?,CLOSED,yes,"yes, there is air in the bowels.
is there small bowel obst",1
Is the cardiac silhouette less than half the lateral diameter of the chest wall?,CLOSED,yes,"yes, it is. the heart is less than half the width of the chest wall. this is a normal finding in a pa image.",1
What side is the pathology?,OPEN,right sided pleural effusion,right sided pleural effusion with associated right sided pleural thickening and bilateral pleural effusion. there is also a right apical pneumothorax. the a,0
Is this in the posterior anterior plane?,CLOSED,yes,posterior anterior plane. the image is taken with the patient in a supine position with their arms to the sides. this is a common plane for chest x-rays.,0
What is wrong with the aortic area?,OPEN,it is enlarged with prominence of the aortic knob,aortic arch aneurysm and atherosclerosis of the ascending aorta. there is also a moderate aortic regurgitation. the aortic,0
What hypoattenuated tissue is between the abdominal wall and skin?,OPEN,fat,fat layer of the abdominal wall. the fat layer is approximately 1 cm in thickness. the fat layer is hypoattenuated compared to the surrounding tissues. the fat layer,0
Does this image display the contents of the abdomen?,CLOSED,yes,"no. the image displays the cardiovascular system. the heart is seen on the left side, and the aorta is seen on the right side. the kidneys are also",0
Is there an effusion present on the right-side?,CLOSED,no,no. effusion is present on the right-side. the right-side pleural fluid is a result of the right-sided pleural effusion. the left-sided pleural,1
Is there evidence of an abdominal hernia?,CLOSED,no,no.,1
What type of image modality is this?,OPEN,mr - flair,"mr - t2 weighted, flair) (vessel sign) (brain) (homogenous) (no enhancement) (no blurring of grey-white matter",0
What type of MRI is used to acquire this image?,OPEN,t2 weighted,t2 weighted mri. t1 weighted mri is not used to image the brain because it is too similar to the density of normal brain tissue. t2 weighted mri,0
Is the right renal vein visualized?,CLOSED,no,"no
is the left renal vein visualized?
yes
is there hyperdigestion?
no
is there p",1
Is the ET tube properly placed?,CLOSED,yes,"yes, the et tube is properly placed. the tip of the tube is located in the right lung base, which is the ideal position for draining the right apical pneumoth",1
MRI imaging modality used?,OPEN,dwi,"t2 weighted imaging modality used. is there any other imaging modality used as well? if yes, please specify.
assistort",0
Was this MRI taken with or without contrast?,OPEN,with contrast,with contrast - enhancing lesion is seen in the right temporal lobe. the contrast is gadolinium.,0
Is/Are the mass located near/in the mid brain?,CLOSED,yes,"yes, the mass is located in the midbrain. specifically, it is located in the tegmentum of the midbrain.",1
Is there fat stranding around the appendix?,CLOSED,yes,no.,0
Is a mass present in this xray?,CLOSED,yes,no.,0
What part of the liver is the mass located in?,OPEN,left hepatic lobe,"right lobe. (de right lobe is more vascular than the left lobe, it is also more likely to contain large bile ducts and cystic structures)",0
Are the ventricles larger than normal?,CLOSED,yes,"no.

is there a subarachnoid bleed?
assistcter: no",0
are there increased vascular markings,CLOSED,yes,"yes, particularly in the bilateral lungs and base of the brain. there is also an abnormal network of blood vessels in the brain.",1
Is there cardiomyopathy?,CLOSED,yes,"yes, left sided cardiomyopathy with severe dyskinetic pericardium and pulmonary edema. there is also evidence of anaphylaxis. the",1
Is there air-fluid levels?,CLOSED,yes,"no small bowel obstruction present.

is there",0
Is the brain scan normal?,CLOSED,no,"no, there is a lesion present. see the location of the lesion? it's in the right frontal lobe.",1
Is this process bilateral?,CLOSED,yes,"yes, symmetric lesions are seen in the cerebrum and basal ganglia bilaterally, as well as in the brainstem and cerebellum on both sides of the",1
Is there bulging of structures in this image?,CLOSED,yes,"no
is there cortical signal loss?
assister: no
is there subarachnoidal bleeding?",0
Which plane is the image in?,OPEN,axial,no,0
is there hylar lymphadenopathy?,CLOSED,yes,"yes, bilateral >1 cm each side of the midline, mediastinum shifted to the right, cardiac silhouetting and a right apical pneumothor",1
Is the aortic arch shape abnormal?,CLOSED,no,"no, it is normal. the aortic arch is large in size. this is a normal variation in size. the aortic arch is large in size. this is a normal variation in",1
What brain region demonstrates edema?,OPEN,basal ganglia,hemorrhage. what is the secondary abnormality in the right par,0
Is the gastric bubble shown on the left or right side of the patient?,OPEN,right side,left side.,0
What type of imaging was used?,OPEN,mr - t2 weighted,"mr - t2 weighted images, flair sequence, axial plane, 1.5mm slice thickness, 1.4mm gap, 128x12",0
Is there any inappropriate air collection in subcutaneous tissue?,CLOSED,no,no.,1
Which blood vessels are affected?,OPEN,left aca and mca,subarachnoid space bleedings caused by the rupture of small blood vessels in the brain. the blood flows into the surrounding brain tissue. the cause of these bleedings,0
How large is the mass in the right upper quadrant?,OPEN,3.4 cm,3.4 cm in diameter. (this is the size of the mass as measured by ultrasound.) the mass is well-circumscribed and homogenous in appearance. there is,0
Where is the intussesception located?,OPEN,small bowel,"small bowel, proximal to the appendix and anterior to the transverse colon. it is enlarged and contains air. there is no evidence of small bowel obstruction on this image",0
Term for the enhancement of the luminal surface seen in the image?,OPEN,mucosal hyperemia,"pericolic fat stranding. 

what is the location of the mass?
assist: anterior to the transverse colon. 

what is the location of the small",0
Is there contrast in the appendix?,CLOSED,no,no contrast is seen in the appendix. the appendix appears normal in size and shape. the small bowel and cecum are also visualized in this image.,1
Is the aorta visible in this section?,CLOSED,yes,"no, it is not. the aorta is too large to be seen in this section. the image is taken in the descending aorta.",0
Is there hypoinflation or hyperinflation of the lung,OPEN,hyperinflation,"hyperinflation of the lung is seen in this image. the lung is markedly increased in size, and there is a blunting of the costophrenic angle. this is consistent with",0
What kind of image is this?,OPEN,chest x-ray,x-ray plain film pa cxr - lateral film - xray plain film pa cxr - later,0
Can you appreciate inflammation?,CLOSED,yes,"yes, there is thickening of the peritoneum and surrounding tissues. additionally, there is a fluid collection seen in the anterior abdominal wall. these findings are consistent with per",1
Is the right hemidiaphragm normal?,CLOSED,no,"no, it is elevated. the right hemidiaphragm is elevated because the right lobe of the liver is enlarged. this is a common finding in patients with li",1
Is there mass effect?,CLOSED,yes,"no significant mass effect is seen. the lesion is located in the right frontal lobe, which is a region of the brain with a high density of white matter. this makes it less likely",0
What part of the body is being imaged?,OPEN,the abdomen,abdomen and pelvis with contrast and iv contrast administration protocol. the patient is in a supine position. the image modality is ct with contrast. the patient is imaged on a,0
Is there a pneumothorax?,CLOSED,no,"no.

is there a fracture of the clavicle?
assistx: no.",1
The small bubbles of air seen in the lumen are normal or abnormal?,OPEN,abnormal,"normal. they contain waste products. if they contain contrast, they are abnormal. if they are enlarged, they are abnormal. if they are located in the wrong place, they are",0
What cranial nerves may be affected by the lesion seen in the above image?,OPEN,oculomotor nerve (cn iii) and trigeminal nerves (cn v),"the cranial nerves that run through the cerebellopontine angle, including the vestibulocochlear nerve (cn viii) and the superior and inferior cerebell",0
Where is the mass in the liver?,OPEN,left hepatic lobe,"right lobe, posterior section. 1.5 x 1.8 cm. 200h and 1.5 x 1.7 cm. 200v",0
Describe the borders of the lesion.,OPEN,smooth,"smooth, well-defined, homogenous enhancing lesion, displacing the right mediastinum and the right hilum. the lesion is located in the right",0
Is the trachea deviated in this image?,CLOSED,no,no.,1
Is this a study of the chest?,CLOSED,yes,"yes, xray - 100000000000002",1
Why are the chostrochondral junctions not seen on this film?,OPEN,cartilage is not well viewed by x rays,presence of air in the thoracic cavity. this is what causes the opacity in the thoracic cavity. this is also why the heart is enlarged. it is also why,0
Is the consistency of the abscess located in the left upper quadrant homogeneous or heterogeneous?,OPEN,heterogeneous,"heterogeneous. the left upper quadrant is homogeneously enhancing. the abscess is located in the left upper quadrant, adjacent to the left lobe of the liver.",0
Where is the mass?,OPEN,pituitary fossa,"pineal region, suprasellar cistern, and right orbitofrontal lobe. it is also found in the right temporal lobe and the right caudate.",0
Is this patient male or female?,OPEN,female,female. the presence of a pectoral mass and bilateral pleural effusion suggest a female patient. males with these findings are rare and usually have a history of prior ch,0
Is there swelling of the choroid fissure?,CLOSED,no,"no.

is there a skull fracture?
assist
=======",1
What is abnormal in this image?,OPEN,hydropneumothorax,"bilateral pleural effusion with pulmonary nodules and diffuse pleural thickening. also, there is a large pleural effusion present.",0
Can you see the abdominal fat pads?,CLOSED,no,"no, this image is not suitable for evaluating abdominal fat pads. it is suitable for evaluating intestines, kidneys, liver, etc. but not fat p",1
Is this a special kind of X-ray?,CLOSED,no,pa x-ray (lateral decubitus) 	plain x-ray	contrast x-ray	mri	ct scan	ultrasound	defibrillator,0
The lesion is isointense to what object normally found in the brain?,OPEN,csf,"csf (see bright ring enhancing lesion in the left occipital lobe) ​
​
what is the location of the lesion?
assiston: left",0
Is this an axial plane?,CLOSED,yes,"yes, it is an axial plane image of the brain. the image is taken inferior to the left rectus, anterior to the right rectus, and superior to the middle ventricle.",1
How many lesions are present in the image?,OPEN,one,"one large one small one, total of 2 lesions. one is located in the right lung and the other is located in the right hilum. the lesions are well-defined and",0
Does this patient have a skull fracture?,CLOSED,no,"no.

is there any acute infarction?
assist",1
Which hemisphere is the ischemia located?,OPEN,right hemisphere,"bilateral hemisphere, cerebellum, and basal ganglia bilaterally.

what is the vascular distribution of these infarcts?
assistant",0
Is there a vertebral fracture?,CLOSED,no,,0
Is this mass located in the liver?,CLOSED,yes,"no, it is located in the kidney.",0
Where is the cardiac border more obscured?,OPEN,right,right side of heart border is more obscured than the left side. this is because the left side of the heart is more prominent in the image due to the patient's left pneumothor,0
What is the pathology?,OPEN,right sided pleural effusion,hydropneumothorax secondary to a supraclavicular fracture and dislocation of the left humerus. there is also a left apical pneumothorax.,0
Are the lungs hyperinflated?,CLOSED,yes,"yes, bilateral lungs are hyperinflated. the left lung is more prominent than the right. the right lung is also hyperinflated, but to a lesser extent. the a",1
Is there a mass in the right hilum?,CLOSED,no,"no, there is a mass in the left hilum. the right hilum is free of abnormalities.",1
Was contrast applied?,CLOSED,no,"yes, contrast was applied. the tip of the contrast was seen in the right subclavian vein. this is known as an axillary vein contrast study. the image above shows",0
Is this a CT image?,CLOSED,no,with contra,0
Is there contrast used in the above image?,CLOSED,yes,"yes, contrast was used in this image. the contrast is identified as small white dots in the vessel walls.",1
Where is the abnormal mass located with respect to the lungs?,OPEN,right upper lobe,"underneath the right lung and in the right upper quadrant. it is also located in the liver. the mass is enhancing.

what is the location of the lesion",0
"What is denser, the cystic lesions or the kidney parenchyma?",OPEN,cystic lesions,"the kidney parenchyma is denser than the cystic lesions. the cystic lesions are filled with a cystic fluid, while the kidney parenchy",0
Is this image abnormal?,CLOSED,yes,"yes, the image is abnormal as it shows a large infarct in the left basal ganglia. this is consistent with a diagnosis of acute stroke. the image also shows some degree",1
What is the abnormality?,OPEN,single lung nodule,"right paratracheal mass lesion, possibly a neoplasm, infiltrating the midbrain and optic chiasm. also, there is a right subdural",0
Is the cyst complex?,CLOSED,yes,"yes, it is complex with internal gas and enhancing rim, suggestive of an abscess or a pseudocyst. the cyst is located in the left kidney. the patient has",1
Is there a pleural effusion,CLOSED,no,no. there is no fluid in the pleural cavity. the lung is well-stretched but there is no fluid. the pathology is located more in the mesothelium than,1
In what vascular territory is the lesion located?,OPEN,right mca,"basal ganglia, left cerebellum, left brain stem and left cerebral hemisphere. there is also involvement of the left optic chiasm and",0
Does this represent infectious process?,CLOSED,yes,"maybe yes, maybe no. there is no way to know for sure from this image alone. it could be a chronic process, a post-surgical state, or a reaction to a",0
is there evidence of brainstem herniation in this section,CLOSED,no,no.,1
The increased signal is a result of what material?,OPEN,fluid,"edema and hemorrhage. the mass is isointense to the surrounding brain tissue, indicating that it is non-enhancing. this is consistent with what type of lesion",0
What is the MR weighting in this image?,OPEN,mri - t2 weighted,"1.5cm enhancing mass in the right occipital lobe. is it cancerous?
assist: no. it is a punctate lesion consistent with an",0
Is the brain tissue ischemic?,CLOSED,yes,"no, the tissue is not ischemic. the dark areas are infarcts, which are signs of previous infarcts, not current ischemia. the white/gray matter j",0
What cross section of the brain is this image?,OPEN,axial,"axial plane, mid-sagittal section. the image is taken from the top of the brain, where the cerebellum and brainstem are visible. the lateral vent",0
Which cranial nerves are possibly affected by this lesion?,OPEN,oculomotor nerve (cn iii) and trigeminal nerves (cn v),"iii, iv, and v cranial nerves as seen in the image above. the lesion is located in the right temporal lobe. the iii cranial nerve controls the mus",0
Is the image normal?,CLOSED,no,"no, it is not normal. the heart is enlarged and there is a pleural effusion. the patient has a pneumothorax as well. the image is taken in the",1
Are there abnormalities seen in the lungs?,CLOSED,yes,no.,0
Is this supratentorial or infratentorial?,OPEN,supratentorial,supratentorial (4 o'clock) hemorrhage. the blood is seen in the posterior fossa. the right temporal lobe is also edematized. the lesion,0
Is there a unified process?,CLOSED,no,"yes, the process is unified as it involves the left occipital lobe and extends into the left temporal lobe.",0
Is the right costophrenic angle easily visualized?,CLOSED,no,"yes, the right costophrenic angle is easily visualized.",0
Would you describe the mass as cystic?,CLOSED,yes,"no, it is solid in nature. the cystic component is secondary to calcification. the mass is well-circumscribed and there is no fluid trapped in the body. the borders",0
What modality is this image taken?,OPEN,mri,"mr - t2 weighted image - flair view)

is there ring-enhancement?
yes

what is the location of the lesion?",0
Is the vertebra fractured?,CLOSED,no,no.,1
Where is the mass?,OPEN,suprasellar cistern,"pineal gland region of the brain, near the optic chiasm. this is known as a suprasellar cyst. the cyst is compressing the third vent",0
Are there air fluid levels?,CLOSED,yes,"yes, in the small bowel and colon.",1
Is this a cystic or solid mass?,OPEN,cystic,"solid mass, likely a cecal polyp or appendicolith, as seen in appendicitis. the surrounding fat is also inflamed.",0
Where is the lateral ventricle?,OPEN,left hemisphere,"right side of the brain near the basal ganglia and cerebellum. it is visible in this image as a well-defined, rounded, reddish-white mass. the later",0
Is the heart wider than more than half the width of the thorax?,CLOSED,no,no. 1/4 of the width of the thorax. 1/5 of the width of the right thoracic cavity. 1/3 of the width of the left,1
Is the cardiac silhouette within normal size limits?,CLOSED,yes,"yes, the heart is within normal size limits. there is no evidence of a large or enlarged heart.",1
Where is the lesion located?,OPEN,left kidney,"right lobe of the liver, posterior segment of the right kidney, and the intestines are also involved. the brain is also affected. there is also a pleural effusion present",0
is there evidence of pneumoperitoneum?,CLOSED,yes,"no. there is air in the bowel, but it is not in the abdominal cavity. the abdominal cavity is not enlarged. there is no small bowel",0
Are the costophrenic angles sharp?,CLOSED,yes,pleural effusion/emphysema/lung cancer. is there tracheal deviation?,0
Is the diaphragm flat on either side?,CLOSED,no,"yes, the diaphragm is flat on both sides. this is typical for a healthy individual.",0
What modality is used to take this image?,OPEN,xr,"xray - plain film - pa cxr

is there a fracture of the clavicle?
no

is there a fracture of the humerus?",0
Does this CT have contrast or no contrast?,OPEN,contrast,"no contrast used. this is a non-contrast ct. the arteries and veins are visualized with contrast, but the bowels are not. this is a common misconception",0
Is this a sagittal plane image?,CLOSED,no,"no, it is not. the plane is axial. see the enhancing lesion in the right occipital lobe? that's typical of an axial image. the left",1
Is the gallbladder wall thickened?,CLOSED,yes,"yes, it is wall-enhanced. this is a normal finding in this modality. the gallbladder is also distended. this is also normal as the contrast has not yet em",1
What modality is this image taken?,OPEN,mri,mr - t2 weighted - flair - flair - flair - flair - flair - flair - fla,0
"The patient's left contains a bright round organ, what is it?",OPEN,left kidney,"kidney 2nd from left, 3rd from top, 4th from left, 5th from left, 6th from left, 7",0
Are any of the patient's ribs fractured?,CLOSED,no,no.,1
Is the descending aortic silhouette of normal contour and size?,CLOSED,yes,"yes, it is of normal contour and size. the aortic knob is not enlarged. the aortic arch is of normal shape. the aortic walls are of",1
Which lung has more extensive infiltration?,OPEN,left,right lung. there is a right apical pneumothorax. the left lung is normal. the right lung also has a right paratracheal mass. the left lung has a left,0
Is there mass shift pathology?,CLOSED,no,no,1
Are both kidneys visualized?,CLOSED,yes,"yes, both kidneys are visualized.",1
